,I_weight,H_weight,O_weight
0,2.56,,
1,0.1,,
2,1.1,,
3,0.89,,
4,2.95,,
5,2.71,,
6,3.57,,
7,0.35,,
8,1.69,,
9,0.12,,
10,0.87,,
11,2.02,,
12,0.11,,
13,0.8,,
14,2.6,,
15,2.18,,
16,0.88,,
17,2.36,,
18,3.24,,
19,0.03,,
20,3.22,,
21,2.79,,
22,1.36,,
23,0.62,,
24,3.83,,
25,1.35,,
26,0.37,,
27,0.39,,
28,3.39,,
29,2.41,,
30,3.23,,
31,2.92,,
32,2.14,,
33,3.89,,
34,1.51,,
35,2.21,,
36,3.32,,
37,2.47,,
38,3.45,,
39,2.31,,
40,2.82,,
41,0.18,,
42,0.91,,
43,1.16,,
44,0.32,,
45,0.93,,
46,0.4,,
47,1.11,,
48,2.54,,
49,1.46,,
50,1.48,,
51,0.84,,
52,1.07,,
53,3.75,,
54,2.59,,
55,2.44,,
56,0.68,,
57,2.92,,
58,0.65,,
59,1.52,,
60,3.96,,
61,2.56,,
62,2.23,,
63,2.74,,
64,3.37,,
65,3.1,,
66,0.92,,
67,0.13,,
68,1.26,,
69,1.07,,
70,0.84,,
71,3.77,,
72,3.51,,
73,1.26,,
74,2.62,,
75,1.58,,
76,3.66,,
77,1.84,,
78,1.06,,
79,0.99,,
80,2.25,,
81,1.05,,
82,2.34,,
83,3.59,,
84,1.6,,
85,0.88,,
86,3.99,,
87,2.04,,
88,0.36,,
89,0.19,,
90,0.44,,
91,2.51,,
92,3.17,,
93,1.69,,
94,0.25,,
95,1.53,,
96,3.98,,
97,2.12,,
98,3.88,,
99,3.44,,
100,0.05,,
101,2.88,,
102,2.73,,
103,2.15,,
104,1.07,,
105,2.56,,
106,0.45,,
107,1.74,,
108,1.81,,
109,3.82,,
110,3.5,,
111,1.05,,
112,2.0,,
113,0.71,,
114,3.65,,
115,3.48,,
116,1.19,,
117,2.56,,
118,2.44,,
119,0.61,,
120,3.05,,
121,2.16,,
122,3.11,,
123,2.12,,
124,0.0,,
125,1.3,,
126,0.08,,
127,3.72,,
128,3.51,,
129,3.33,,
130,1.23,,
131,0.23,,
132,3.51,,
133,3.79,,
134,0.34,,
135,1.94,,
136,0.28,,
137,3.04,,
138,3.06,,
139,0.51,,
140,1.9,,
141,2.2,,
142,1.06,,
143,3.49,,
144,1.69,,
145,0.85,,
146,2.16,,
147,2.92,,
148,0.8,,
149,1.25,,
150,3.98,,
151,2.6,,
152,1.75,,
153,2.07,,
154,0.48,,
155,0.9,,
156,1.35,,
157,2.35,,
158,0.92,,
159,0.88,,
160,0.28,,
161,2.52,,
162,0.92,,
163,3.62,,
164,3.44,,
165,0.28,,
166,0.95,,
167,2.68,,
168,0.86,,
169,0.53,,
170,3.74,,
171,2.28,,
172,1.89,,
173,3.14,,
174,3.23,,
175,0.76,,
176,0.39,,
177,1.72,,
178,1.69,,
179,1.87,,
180,2.92,,
181,2.69,,
182,3.94,,
183,0.39,,
184,1.61,,
185,1.36,,
186,3.45,,
187,0.99,,
188,0.76,,
189,1.79,,
190,1.69,,
191,1.11,,
192,1.0,,
193,3.69,,
194,1.77,,
195,3.45,,
196,2.2,,
197,0.2,,
198,4.0,,
199,3.34,,
200,3.88,,
201,3.71,,
202,3.39,,
203,0.67,,
204,1.94,,
205,0.85,,
206,1.6,,
207,0.23,,
208,1.52,,
209,3.94,,
210,1.06,,
211,3.14,,
212,1.82,,
213,1.69,,
214,3.83,,
215,3.98,,
216,2.22,,
217,2.87,,
218,0.62,,
219,1.19,,
220,3.87,,
221,2.32,,
222,2.17,,
223,2.99,,
224,0.23,,
225,2.34,,
226,2.01,,
227,3.41,,
228,0.63,,
229,3.84,,
230,0.32,,
231,0.74,,
232,2.38,,
233,2.7,,
234,0.94,,
235,0.48,,
236,3.56,,
237,0.98,,
238,2.38,,
239,2.48,,
240,1.68,,
241,2.33,,
242,2.09,,
243,3.74,,
244,0.82,,
245,2.86,,
246,0.95,,
247,1.58,,
248,2.69,,
249,1.2,,
250,1.26,,
251,3.01,,
252,0.29,,
253,1.83,,
254,3.99,,
255,3.98,,
256,0.29,,
257,0.85,,
258,1.06,,
259,3.73,,
260,3.52,,
261,3.52,,
262,1.48,,
263,0.63,,
264,3.33,,
265,2.81,,
266,2.45,,
267,3.95,,
268,2.62,,
269,0.03,,
270,3.27,,
271,1.2,,
272,2.65,,
273,3.76,,
274,0.54,,
275,0.46,,
276,0.43,,
277,2.21,,
278,1.09,,
279,2.42,,
280,2.87,,
281,0.81,,
282,2.54,,
283,1.06,,
284,1.95,,
285,3.62,,
286,3.38,,
287,0.37,,
288,1.69,,
289,1.11,,
290,0.01,,
291,3.08,,
292,2.55,,
293,1.05,,
294,2.96,,
295,2.21,,
296,1.71,,
297,0.04,,
298,0.3,,
299,3.53,,
300,3.62,,
301,2.18,,
302,3.34,,
303,2.33,,
304,0.59,,
305,0.51,,
306,1.23,,
307,3.6,,
308,3.18,,
309,3.44,,
310,3.6,,
311,0.84,,
312,1.0,,
313,0.41,,
314,3.12,,
315,3.54,,
316,1.63,,
317,2.48,,
318,0.62,,
319,3.72,,
320,3.46,,
321,3.9,,
322,3.24,,
323,3.53,,
324,0.1,,
325,2.95,,
326,1.33,,
327,3.72,,
328,3.21,,
329,3.46,,
330,3.24,,
331,1.07,,
332,3.15,,
333,0.43,,
334,3.49,,
335,3.43,,
336,0.89,,
337,3.27,,
338,1.84,,
339,1.22,,
340,3.18,,
341,0.91,,
342,0.09,,
343,0.77,,
344,1.31,,
345,3.46,,
346,3.87,,
347,1.12,,
348,2.57,,
349,1.6,,
350,3.92,,
351,2.14,,
352,3.76,,
353,0.46,,
